"campaignid","sample","count","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","caab_code"
"2021-06-ApolloMP_stereoBRUVs","APO_024",2,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_024",1,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_025",17,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_025",2,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_025",3,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_025",1,"Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07
"2021-06-ApolloMP_stereoBRUVs","APO_026",16,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_026",3,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_026",3,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_026",1,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_026",1,"Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07
"2021-06-ApolloMP_stereoBRUVs","APO_027",5,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_027",15,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_027",1,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_027",3,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_027",1,"Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA,NA,NA,NA,NA,82001005
"2021-06-ApolloMP_stereoBRUVs","APO_028",3,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_028",17,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_028",1,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_028",3,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_028",1,"Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA,NA,NA,NA,NA,82001005
"2021-06-ApolloMP_stereoBRUVs","APO_029",15,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_029",1,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_029",3,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_029",1,"Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07
"2021-06-ApolloMP_stereoBRUVs","APO_030",8,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_030",2,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_031",20,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_031",4,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_031",1,"Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA,NA,NA,NA,NA,82001005
"2021-06-ApolloMP_stereoBRUVs","APO_032",20,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_032",4,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_032",1,"Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA,NA,NA,NA,NA,82001005
"2021-06-ApolloMP_stereoBRUVs","APO_033",20,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
